1,Haa Alifu Atoll,HA,ހއ,هـ.أ
2,Haa Dhaalu Atoll,HDh,ހދ,هـ.د
3,Shaviyani Atoll,Sh,ށ,شَوِيَنِ
4,Noonu Atoll,N,ނ,ن
5,Raa Atoll,R,ރ,ر
6,Baa Atoll,B,ބ,ب
8,Kaafu Atoll,K,ކ,ك
9,Alif Alif Atoll,AA,އއ,أ.أ
10,Alif Dhaalu Atoll,ADh,އދ,أ.د
11,Vaavu Atoll,V,ވ,و
12,Meemu Atoll,M,މ,م
13,Faafu Atoll,F,ފ,ف
14,Dhaalu Atoll,Dh,ދ,د
15,Thaa Atoll,Th,ތ,ت
16,Laamu Atoll,L,ލ,ل
17,Gaafu Alif Atoll,GA,ގއ,ق.أ
18,Gaafu Dhaalu Atoll,GDh,ގދ,ق.د
19,Gnaviyani Atoll,Gn,ޏ,يَوِيَنِ
20,Seenu Atoll,S,ސ,س
7,Lhaviyani Atoll,Lh,ޅ,لَوِيَنِ
